iata_code,municipality,country
NUP,Nunapitchuk,United States of America
NUQ,Mountain View,United States of America
NUW,Oak Harbor,United States of America
NVN,Beckwourth,United States of America
NYG,Quantico,United States of America
NZY,San Diego,United States of America
OAJ,Richlands,United States of America
OAK,Oakland,United States of America
OAR,Marina,United States of America
OBE,Okeechobee,United States of America
OBU,Kobuk,United States of America
OCA,Key Largo,United States of America
OCE,Ocean City,United States of America
OCF,Ocala,United States of America
OCH,Nacogdoches,United States of America
OCN,Oceanside,United States of America
OCW,Washington,United States of America
ODC,Oakdale,United States of America
ODW,Oak Harbor,United States of America
OEA,Lawrenceville,United States of America
OEO,Osceola,United States of America
OFF,Omaha,United States of America
OFK,Norfolk,United States of America
OGA,Ogallala,United States of America
OGB,Orangeburg,United States of America
OGD,Ogden,United States of America
OGG,Kahului,United States of America
OGS,Ogdensburg,United States of America
OIC,Norwich,United States of America
OJC,Olathe,United States of America
OKC,Oklahoma City,United States of America
OKK,Kokomo,United States of America
OKM,Okmulgee,United States of America
OKS,Oshkosh,United States of America
OLD,Old Town,United States of America
OLF,Wolf Point,United States of America
OLH,Old Harbor,United States of America
OLM,Olympia,United States of America
OLS,Nogales,United States of America
OLU,Columbus,United States of America
OLV,Olive Branch,United States of America
OMA,Omaha,United States of America
OME,Nome,United States of America
OMK,Omak,United States of America
ONL,O'Neill,United States of America
ONO,Oregon,United States of America
ONP,Newport,United States of America
ONT,Ontario,United States of America
OOK,Toksook Bay,United States of America
OPF,Miami,United States of America
ORD,Chicago,United States of America
ORF,Norfolk,United States of America
ORH,Worcester,United States of America
ORI,Port Lions,United States of America
ORL,Orlando,United States of America
ORT,Northway,United States of America
ORV,Noorvik,United States of America
OSC,Oscoda,United States of America
OSH,Oshkosh,United States of America
OSU,Columbus,United States of America
OTH,North Bend,United States of America
OTK,Tillamook,United States of America
OTM,Ottumwa,United States of America
OTN,Oaktown,United States of America
OTS,Anacortes,United States of America
OTZ,Kotzebue,United States of America
OUN,Norman,United States of America
OVE,Oroville,United States of America
OWA,Owatonna,United States of America
OWB,Owensboro,United States of America
OWD,Norwood,United States of America
OWK,Norridgewock,United States of America
OXC,Oxford,United States of America
OXD,Oxford,United States of America
OXR,Oxnard,United States of America
OZA,Ozona,United States of America
OZR,Fort Rucker/Ozark,United States of America
PAE,Everett,United States of America
PAH,Paducah,United States of America
PAK,Hanapepe,United States of America
PAM,Panama City,United States of America
PAO,Palo Alto,United States of America
PAQ,Palmer,United States of America
PBF,Pine Bluff,United States of America
PBG,Plattsburgh,United States of America
PBI,West Palm Beach,United States of America
PCA,Portage Creek,United States of America
PCD,Prairie Du Chien,United States of America
PCT,Princeton/Rocky Hill,United States of America
PCU,Poplarville,United States of America
PDB,Pedro Bay,United States of America
PDK,Atlanta,United States of America
PDT,Pendleton,United States of America
PDX,Portland,United States of America
PEQ,Pecos,United States of America
PFC,Pacific City,United States of America
PGA,Page,United States of America
PGC,Petersburg,United States of America
PGD,Punta Gorda,United States of America
PGL,Pascagoula,United States of America
PGM,Port Graham,United States of America
PGO,Pagosa Springs,United States of America
PGR,Paragould,United States of America
PGV,Greenville,United States of America
PHD,New Philadelphia,United States of America
PHF,Newport News,United States of America
PHK,Pahokee,United States of America
PHL,Philadelphia,United States of America
PHN,Port Huron,United States of America
PHO,Point Hope,United States of America
PHP,Philip,United States of America
PHT,Paris,United States of America
PHX,Phoenix,United States of America
PIA,Peoria,United States of America
PIB,Moselle,United States of America
PIE,Pinellas Park,United States of America
PIH,Pocatello,United States of America
PIM,Pine Mountain,United States of America
PIP,Pilot Point,United States of America
PIR,Pierre,United States of America
PIT,Pittsburgh,United States of America
PIZ,Point Lay,United States of America
PJB,Payson,United States of America
PKA,Napaskiak,United States of America
PKB,Parkersburg (Williamstown),United States of America
PKD,Park Rapids,United States of America
PKF,Park Falls,United States of America
PLK,Branson / Hollister,United States of America
PLN,Pellston,United States of America
PLR,Pell City,United States of America
PLY,Plymouth,United States of America
PMB,Pembina,United States of America
PMD,Palmdale,United States of America
PMH,Portsmouth,United States of America
PML,Cold Bay,United States of America
PNC,Ponca City,United States of America
PNE,Philadelphia,United States of America
PNN,Princeton,United States of America
PNS,Pensacola,United States of America
PNU,Panguitch,United States of America
PNX,Denison,United States of America
POB,Fort Bragg,United States of America
POC,La Verne,United States of America
POE,Fort Polk,United States of America
POF,Poplar Bluff,United States of America
POU,Poughkeepsie,United States of America
POY,Powell,United States of America
PPA,Pampa,United States of America
PPC,Prospect Creek,United States of America
PPF,Parsons,United States of America
PPM,Pompano Beach,United States of America
PQI,Presque Isle,United States of America
PQS,Pilot Station,United States of America
PRB,Paso Robles,United States of America
PRC,Prescott,United States of America
PRO,Perry,United States of America
PRW,Prentice,United States of America
PRX,Paris,United States of America
PRZ,Prineville,United States of America
PSC,Pasco,United States of America
PSF,Pittsfield,United States of America
PSG,Petersburg,United States of America
PSK,Dublin,United States of America
PSM,Portsmouth,United States of America
PSN,Palestine,United States of America
PSP,Palm Springs,United States of America
PSX,Palacios,United States of America
PTA,Port Alsworth,United States of America
PTB,Petersburg,United States of America
PTH,Port Heiden,United States of America
PTK,Pontiac,United States of America
PTN,Patterson,United States of America
PTT,Pratt,United States of America
PTU,Platinum,United States of America
PTV,Porterville,United States of America
PTW,Pottstown,United States of America
PUB,Pueblo,United States of America
PUC,Price,United States of America
PUW,Pullman,United States of America
PVC,Provincetown,United States of America
PVD,Warwick,United States of America
PVF,Placerville,United States of America
PVL,Pikeville,United States of America
PVU,Provo,United States of America
PVW,Plainview,United States of America
PWA,Oklahoma City,United States of America
PWD,Plentywood,United States of America
PWK,Chicago/Prospect Heights/Wheeling,United States of America
PWM,Portland,United States of America
PWT,Bremerton,United States of America
PWY,Pinedale,United States of America
PXL,Polacca,United States of America
PYM,Plymouth,United States of America
RAC,Racine,United States of America
RAL,Riverside,United States of America
RAP,Rapid City,United States of America
RBD,Dallas,United States of America
RBF,Big Bear,United States of America
RBG,Roseburg,United States of America
RBK,Murrieta,United States of America
RBL,Red Bluff,United States of America
RBW,Walterboro,United States of America
RBY,Ruby,United States of America
RCA,Rapid City,United States of America
RCE,Roche Harbor,United States of America
RCK,Rockdale,United States of America
RCR,Rochester,United States of America
RCT,Reed City,United States of America
RDB,Red Dog,United States of America
RDD,Redding,United States of America
RDG,Reading,United States of America
RDM,Redmond,United States of America
RDR,Grand Forks,United States of America
RDU,Raleigh/Durham,United States of America
RDV,Red Devil,United States of America
RED,Reedsville,United States of America
REE,Lubbock,United States of America
REO,Rome,United States of America
RFD,Chicago/Rockford,United States of America
RGR,Ranger,United States of America
RHI,Rhinelander,United States of America
RHV,San Jose,United States of America
RIC,Richmond,United States of America
RIE,Rice Lake,United States of America
RIL,Rifle,United States of America
RIV,Riverside,United States of America
RIW,Riverton,United States of America
RKD,Rockland,United States of America
RKH,Rock Hill,United States of America
RKP,Rockport,United States of America
RKS,Rock Springs,United States of America
RKW,Rockwood,United States of America
RLA,Rolla,United States of America
RME,Rome,United States of America
RMG,Rome,United States of America
RMP,Rampart,United States of America
RMY,Mariposa,United States of America
RNC,Mc Minnville,United States of America
RND,Universal City,United States of America
RNH,New Richmond,United States of America
RNO,Reno,United States of America
RNT,Renton,United States of America
RNZ,Rensselaer,United States of America
ROA,Roanoke,United States of America
ROC,Rochester,United States of America
ROF,Montague,United States of America
ROG,Rogers,United States of America
ROL,Roosevelt,United States of America
ROW,Roswell,United States of America
ROX,Roseau,United States of America
RPX,Roundup,United States of America
RQO,El Reno,United States of America
RRL,Merrill,United States of America
RRT,Warroad,United States of America
RSH,Russian Mission,United States of America
RSL,Russell,United States of America
RSN,Ruston,United States of America
RST,Rochester,United States of America
RSW,Fort Myers,United States of America
RTL,Okoboji,United States of America
RTN,Raton,United States of America
RUI,Alto,United States of America
RUT,Rutland,United States of America
RVR,Green River,United States of America
RVS,Tulsa,United States of America
RWF,Redwood Falls,United States of America
RWI,Rocky Mount,United States of America
RWL,Rawlins,United States of America
RXE,Rexburg,United States of America
SAA,Saratoga,United States of America
SAC,Sacramento,United States of America
SAD,Safford,United States of America
SAF,Santa Fe,United States of America
SAN,San Diego,United States of America
SAR,Sparta,United States of America
SAS,Salton City,United States of America
SAT,San Antonio,United States of America
SAV,Savannah,United States of America
SBA,Santa Barbara,United States of America
SBD,San Bernardino,United States of America
SBM,Sheboygan,United States of America
SBN,South Bend,United States of America
SBO,Salina,United States of America
SBP,San Luis Obispo,United States of America
SBS,Steamboat Springs,United States of America
SBX,Shelby,United States of America
SBY,Salisbury,United States of America
SCB,Scribner,United States of America
SCC,Deadhorse,United States of America
SCE,State College,United States of America
SCF,Scottsdale,United States of America
SCH,Schenectady,United States of America
SCK,Stockton,United States of America
SCM,Scammon Bay,United States of America
SDF,Louisville,United States of America
SDM,San Diego,United States of America
SDP,Sand Point,United States of America
SDX,Sedona,United States of America
SDY,Sidney,United States of America
SEA,Seattle,United States of America
SEE,San Diego/El Cajon,United States of America
SEF,Sebring,United States of America
SEG,Selinsgrove,United States of America
SEM,Selma,United States of America
SEP,Stephenville,United States of America
SER,Seymour,United States of America
SFB,Orlando,United States of America
SFF,Spokane,United States of America
SFM,Sanford,United States of America
SFO,San Francisco,United States of America
SFZ,Pawtucket,United States of America
SGF,Springfield,United States of America
SGH,Springfield,United States of America
SGR,Houston,United States of America
SGT,Stuttgart,United States of America
SGU,St George,United States of America
SGY,Skagway,United States of America
SHD,Weyers Cave,United States of America
SHG,Shungnak,United States of America
SHH,Shishmaref,United States of America
SHN,Shelton,United States of America
SHR,Sheridan,United States of America
SHV,Shreveport,United States of America
SHX,Shageluk,United States of America
SIK,Sikeston,United States of America
SIT,Sitka,United States of America
SIV,Sullivan,United States of America
SJC,San Jose,United States of America
SJN,St Johns,United States of America
SJT,San Angelo,United States of America
SKA,Spokane,United States of America
SKF,San Antonio,United States of America
SKK,Shaktoolik,United States of America
SKW,Skwentna,United States of America
SLB,Storm Lake,United States of America
SLC,Salt Lake City,United States of America
SLE,Salem,United States of America
SLG,Siloam Springs,United States of America
SLK,Saranac Lake,United States of America
SLN,Salina,United States of America
SLO,Salem,United States of America
SLQ,Sleetmute,United States of America
SLR,Sulphur Springs,United States of America
SLT,Salida,United States of America
SMD,Fort Wayne,United States of America
SME,Somerset,United States of America
SMF,Sacramento,United States of America
SMK,St Michael,United States of America
SMN,Salmon,United States of America
SMO,Santa Monica,United States of America
SMU,Sheep Mountain,United States of America
SMX,Santa Maria,United States of America
SNA,Santa Ana,United States of America
SNK,Snyder,United States of America
SNL,Shawnee,United States of America
SNP,St Paul Island,United States of America
SNS,Salinas,United States of America
SNY,Sidney,United States of America
SOL,Solomon,United States of America
SOP,Carthage,United States of America
SOV,Seldovia,United States of America
SOW,Show Low,United States of America
SPA,Spartanburg,United States of America
SPF,Spearfish,United States of America
SPG,St Petersburg,United States of America
SPI,Springfield,United States of America
SPS,Wichita Falls,United States of America
SPW,Spencer,United States of America
SPZ,Springdale,United States of America
SQA,Santa Ynez,United States of America
SQI,Rock Falls,United States of America
SQL,San Carlos,United States of America
SQV,Sequim,United States of America
SRQ,Sarasota/Bradenton,United States of America
SRV,Stony River,United States of America
SRW,Salisbury,United States of America
SSC,Sumter,United States of America
SSF,San Antonio,United States of America
SSI,St Simons Island,United States of America
SSW,Friday Harbor,United States of America
STC,Saint Cloud,United States of America
STE,Stevens Point,United States of America
STG,St George,United States of America
STJ,St Joseph,United States of America
STK,Sterling,United States of America
STL,St Louis,United States of America
STP,Saint Paul,United States of America
STQ,St Marys,United States of America
STS,Santa Rosa,United States of America
SUA,Stuart,United States of America
SUD,Stroud,United States of America
SUE,Sturgeon Bay,United States of America
SUM,Sumter,United States of America
SUN,Hailey,United States of America
SUO,Sunriver,United States of America
SUS,St Louis,United States of America
SUU,Fairfield,United States of America
SUW,Superior,United States of America
SUX,Sioux City,United States of America
SVA,Savoonga,United States of America
SVC,Silver City,United States of America
SVE,Susanville,United States of America
SVH,Statesville,United States of America
SVN,Savannah,United States of America
SVS,Stevens Village,United States of America
SVW,Sparrevohn,United States of America
SWD,Seward,United States of America
SWF,Newburgh,United States of America
SWO,Stillwater,United States of America
SWW,Sweetwater,United States of America
SXP,Nunam Iqua,United States of America
SXQ,Soldotna,United States of America
SXY,Sidney,United States of America
SYA,Shemya,United States of America
SYI,Shelbyville,United States of America
SYN,Dennison,United States of America
SYR,Syracuse,United States of America
SYV,Sylvester,United States of America
SZL,Knob Noster,United States of America
SZN,Santa Cruz Island,United States of America
SZP,Santa Paula,United States of America
TAD,Trinidad,United States of America
TAL,Tanana,United States of America
TBC,Tuba City,United States of America
TBN,Fort Leonard Wood,United States of America
TBR,Statesboro,United States of America
TCC,Tucumcari,United States of America
TCL,Tuscaloosa,United States of America
TCM,Tacoma,United States of America
TCS,Truth or Consequences,United States of America
TCT,Takotna,United States of America
TDO,Toledo,United States of America
TDW,Amarillo,United States of America
TDZ,Toledo,United States of America
TEB,Teterboro,United States of America
TEK,Tatitlek,United States of America
TEX,Telluride,United States of America
THA,Tullahoma,United States of America
THM,Thompson Falls,United States of America
THP,Thermopolis,United States of America
THV,Thomasville,United States of America
TIK,Oklahoma City,United States of America
TIW,Tacoma,United States of America
TIX,Titusville,United States of America
TKA,Talkeetna,United States of America
TKF,Truckee,United States of America
TKJ,Tok,United States of America
TLA,Teller,United States of America
TLF,Telida,United States of America
TLH,Tallahassee,United States of America
TLJ,Takotna,United States of America
TLR,Tulare,United States of America
TLT,Tuluksak,United States of America
TMA,Tifton,United States of America
TMB,Miami,United States of America
TNC,Tin City,United States of America
TNK,Tununak,United States of America
TNP,Twentynine Palms,United States of America
TNT,Miami,United States of America
TNU,Newton,United States of America
TOA,Torrance,United States of America
TOC,Toccoa,United States of America
TOG,Togiak Village,United States of America
TOI,Troy,United States of America
TOL,Toledo,United States of America
TOP,Topeka,United States of America
TOR,Torrington,United States of America
TPA,Tampa,United States of America
TPF,Tampa,United States of America
TPH,Tonopah,United States of America
TPL,Temple,United States of America
TRH,Trona,United States of America
TRI,Blountville,United States of America
TRL,Terrell,United States of America
TRM,Palm Springs,United States of America
TSG,Tanacross,United States of America
TSM,Taos,United States of America
TSP,Tehachapi,United States of America
TTD,Portland,United States of America
TTN,Ewing Township,United States of America
TTO,Britton,United States of America
TUH,Manchester,United States of America
TUL,Tulsa,United States of America
TUP,Tupelo,United States of America
TUS,Tucson,United States of America
TVC,Traverse City,United States of America
TVF,Thief River Falls,United States of America
TVI,Thomasville,United States of America
TVL,South Lake Tahoe,United States of America
TWA,Twin Hills,United States of America
TWD,Port Townsend,United States of America
TWE,Taylor,United States of America
TWF,Twin Falls,United States of America
TXK,Texarkana,United States of America
TYE,Tyonek,United States of America
TYR,Tyler,United States of America
TYS,Alcoa,United States of America
TYZ,Taylor,United States of America
TZC,Caro,United States of America
UBS,Columbus,United States of America
UCC,Mercury,United States of America
UCE,Eunice,United States of America
UCY,Union City,United States of America
UDD,Bermuda Dunes,United States of America
UES,Waukesha,United States of America
UGB,Pilot Point,United States of America
UGN,Chicago/Waukegan,United States of America
UGS,Ugashik,United States of America
UIL,Quillayute,United States of America
UIN,Quincy,United States of America
UKI,Ukiah,United States of America
UKN,Waukon,United States of America
UKT,Quakertown,United States of America
ULM,New Ulm,United States of America
UMM,Cantwell,United States of America
UMT,Umiat,United States of America
UNK,Unalakleet,United States of America
UNU,Juneau,United States of America
UOS,Sewanee,United States of America
UOX,Oxford,United States of America
UPP,Hawi,United States of America
USA,Concord,United States of America
UST,St Augustine,United States of America
UTM,Tunica,United States of America
UTO,Utopia Creek,United States of America
UUK,Kuparuk,United States of America
UVA,Uvalde,United States of America
UWA,Ware,United States of America
VAD,Valdosta,United States of America
VAK,Chevak,United States of America
VBG,Lompoc,United States of America
VCT,Victoria,United States of America
VCV,Victorville,United States of America
VDI,Vidalia,United States of America
VDZ,Valdez,United States of America
VEE,Venetie,United States of America
VEL,Vernal,United States of America
VEX,Tioga,United States of America
VGT,Las Vegas,United States of America
VHN,Van Horn,United States of America
VIH,Vichy,United States of America
VIS,Visalia,United States of America
VJI,Abingdon,United States of America
VKS,Vicksburg,United States of America
VLA,Vandalia,United States of America
VLD,Valdosta,United States of America
VLE,Grand Canyon,United States of America
VNC,Venice,United States of America
VNY,Van Nuys,United States of America
VOK,Camp Douglas,United States of America
VPS,Valparaiso,United States of America
VPZ,Valparaiso,United States of America
VQQ,Jacksonville,United States of America
VRB,Vero Beach,United States of America
VRS,Versailles,United States of America
VSF,North Springfield,United States of America
VTN,Valentine,United States of America
VYS,Peru,United States of America
WAA,Wales,United States of America
WAH,Wahpeton,United States of America
WAL,Wallops Island,United States of America
WAY,Waynesburg,United States of America
WBB,Stebbins,United States of America
WBQ,Beaver,United States of America
WBR,Big Rapids,United States of America
WBU,Boulder,United States of America
WBW,Wilkes-Barre,United States of America
WCR,Chandalar Lake,United States of America
WDG,Enid,United States of America
WDN,Eastsound,United States of America
WDR,Winder,United States of America
WEA,Weatherford,United States of America
WFK,Frenchville,United States of America
WGO,Winchester,United States of America
WHP,Pacoima,United States of America
WHT,Wharton,United States of America
WIB,Vernon,United States of America
WJF,Lancaster,United States of America
WKK,Aleknagik,United States of America
WLD,Winfield / Arkansas City,United States of America
WLK,Selawik,United States of America
WLW,Willows,United States of America
WMC,Winnemucca,United States of America
WMH,Mountain Home,United States of America
WMO,White Mountain,United States of America
WNA,Napakiak,United States of America
WOW,Willow,United States of America
WPO,Paonia,United States of America
WRB,Warner Robins,United States of America
WRG,Wrangell,United States of America
WRI,Wrightstown,United States of America
WRL,Worland,United States of America
WSG,Washington,United States of America
WSH,Shirley,United States of America
WSM,Wiseman,United States of America
WSN,South Naknek,United States of America
WST,Westerly,United States of America
WTK,Noatak,United States of America
WTL,Tuntutuliak,United States of America
WTR,Whiteriver,United States of America
WVI,Watsonville,United States of America
WVL,Waterville,United States of America
WWA,Wasilla,United States of America
WWD,Wildwood,United States of America
WWR,Woodward,United States of America
WWT,Mertarvik,United States of America
WYS,West Yellowstone,United States of America
XES,Lake Geneva,United States of America
XMD,Madison,United States of America
XNA,Fayetteville/Springdale/Rogers,United States of America
XPR,Pine Ridge,United States of America
XSD,Tonopah,United States of America
XWA,Williston,United States of America
YAK,Yakutat,United States of America
YIP,Detroit,United States of America
YKM,Yakima,United States of America
YKN,Yankton,United States of America
YNG,Youngstown/Warren,United States of America
YUM,Yuma,United States of America
ZNC,Nyac,United States of America
ZPH,Zephyrhills,United States of America
ZZV,Zanesville,United States of America
